articulo,stock,compras_recomendadas,demanda_mensual,index_riesgo,riesgo,LT_meses,mean_margen,ultima_fecha,monto_usd,ultima_compra
a-1880,661.0,887.6200077050245,147.9366679508374,4.46812821429549,Verde,6.0,1.2663746787829917,2024-09-30,1.75,31460.0
c-1823,2188.0,1132.394316261499,188.73238604358315,11.59313483958569,Verde,6.0,0.7773816315541553,2024-06-13,1.07,15250.0
54302-54y00,258.0,338.8466245204273,56.47443742007122,4.568438603131722,Verde,6.0,0.725909572370995,2024-09-19,9.9,5210.0
g20w50100,377.0,227.0826621312407,113.54133106562035,3.320376786688503,Verde,2.0,0.41348201770942206,2024-06-12,11.13,40179.0
hy036,134.0,149.0927047459323,24.84878412432205,5.392617977989533,Verde,6.0,1.0309185523176525,2024-01-22,10.5,1592.0
17635,24340.0,53974.12137643428,13493.53034410857,1.803827417976432,Verde,4.0,0.42154833415471354,2024-09-16,0.18240486449003218,2552860.0
c-1533,2953.0,2145.432341785222,357.5720569642037,8.25847529885598,Verde,6.0,0.673522246532692,2024-08-29,5.5,28974.0
a-5107-s,0.0,215.7457860159904,35.95763100266507,0.0,Rojo,6.0,1.162927394223631,2024-08-29,11.29,1188.0
884567,0.0,453.1503560650111,151.05011868833705,0.0,Rojo,3.0,0.39692438849124523,2024-05-04,23.176667000000002,1950.0
dt-123v,0.0,4049.712514050646,674.9520856751077,0.0,Rojo,6.0,0.3984732484077478,2024-05-20,13.73,36460.0
hy004,0.0,291.9849944977789,48.664165749629824,0.0,Rojo,6.0,0.9721811721735817,2024-01-22,4.94,5186.0
4853002700,0.0,401.1828727097244,66.8638121182874,0.0,Rojo,6.0,0.6683146758282035,2024-02-29,6.9,3250.0
k005,0.0,22.08713769302889,3.681189615504815,0.0,Rojo,6.0,0.7356728331842997,2024-01-22,6.3,1694.0
c-1809,1022.0,1926.403036014176,321.06717266902933,3.1831345182508715,Verde,6.0,0.9111257203593258,2024-09-17,1.07,34900.0
di1540ci025,194.0,38.57003754124391,19.285018770621956,10.059622046908869,Verde,2.0,0.662116557807328,2024-03-30,2.96,8760.0
t012,606.0,810.725963417932,135.12099390298866,4.484869319678652,Verde,6.0,0.9140193393811133,2024-09-20,3.65,13737.0
t003,500.0,891.8775670174433,148.64626116957388,3.3636903886173495,Verde,6.0,1.1539173974240564,2024-09-20,4.7,9441.0
dttmlt265/65r17,157.0,575.4083984203966,95.90139973673276,1.6370981073372683,Verde,6.0,0.4060350827891591,2024-10-04,74.5,3393.0
a-61440,1712.0,1010.444497591654,168.40741626527566,10.16582308526873,Verde,6.0,0.977851206148563,2024-06-13,1.24,23600.0
adex3h,62.0,21.53913436568963,21.53913436568963,2.878481509394443,Verde,1.0,0.40739061121908354,2024-09-18,36.63,8460.0
n016,248.0,428.5004731025422,71.41674551709036,3.4725749290921195,Verde,6.0,0.8835448611584419,2024-01-22,6.51,2600.0
ch001,0.0,439.1548261449444,73.1924710241574,0.0,Rojo,6.0,1.0713368710935212,2024-01-22,5.46,7735.0
t035,14.0,282.309444617631,47.0515741029385,0.29754583702919435,Rojo,6.0,1.18922354237396,2023-08-31,5.67,1076.0
mi002,0.0,156.6545247934354,26.109087465572568,0.0,Rojo,6.0,0.7492557512783259,2024-01-22,5.25,2482.0
a-61530,1322.0,1673.106230166877,278.85103836114615,4.740882471765619,Verde,6.0,1.9379384541520894,2024-09-30,2.1,15340.0
48520-12c20,137.0,983.6916386380456,163.94860643967425,0.8356277188022935,Rojo,6.0,0.7768963578619758,2024-09-19,10.3,4131.0
t1084,115.0,41.72104579829711,6.953507633049519,16.538415727540634,Verde,6.0,0.6787049988352634,2024-03-19,21.7392,851.0
rp1030100,257.0,235.3708697855292,117.6854348927646,2.1837876559166336,Verde,2.0,0.3387231529803752,2024-06-12,11.47,21951.0
332152,88.0,377.9770433730508,62.99617389550846,1.396910233722532,Amarillo,6.0,0.8767504663417751,2024-08-22,10.2,2831.0
54651-2s000,13.0,254.4081125013374,42.40135208355623,0.3065939966815719,Rojo,6.0,0.7747989592004784,2024-08-22,12.32,977.0
wk-820/18,209.0,177.1437220403223,44.285930510080576,4.719331796639712,Verde,4.0,0.3816169957988078,2024-04-09,23.976101517677307,9367.0
aty006,0.0,396.2324000446986,66.0387333407831,0.0,Rojo,6.0,0.6828966587922234,2023-05-19,2.32,3510.0
n017,102.0,261.9150213941864,43.652503565697735,2.3366357406394416,Verde,6.0,0.7853107730328915,2024-01-22,5.88,2258.0
t014,800.0,953.7849987329629,158.96416645549382,5.032580724562104,Verde,6.0,0.774695949715695,2024-09-20,4.75,13891.0
a-6207-s,267.0,262.1671043285422,43.69451738809037,6.110606455005155,Verde,6.0,1.0034372495807602,2024-09-30,12.5,4005.0
48892,16566.0,15036.56776387436,3759.14194096859,4.406856740219701,Verde,4.0,0.3782966591639764,2024-09-16,1.9298323778629303,549400.0
c-6805,338.0,846.9814458389698,141.16357430649495,2.3943853905691914,Verde,6.0,0.973339732480523,2024-09-17,4.74,9558.0
48005,4850.0,4318.558128263943,1079.6395320659858,4.492240100470474,Verde,4.0,0.3432758335731655,2024-09-16,2.005566434061527,75010.0
48991,1600.0,5789.687373332095,1447.4218433330238,1.1054137447004597,Naranja,4.0,0.3577747018353294,2024-09-16,2.9137098019480705,250200.0
ef-1112,964.0,2262.171141583643,377.0285235972738,2.5568357290381156,Verde,6.0,1.026266625474224,2024-09-17,2.0,37116.0
cf-300/1,51.0,121.0832597110383,30.270814927759574,1.6847911138735454,Verde,4.0,0.5443495575084007,2024-09-12,7.65,6035.0
