fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion
ito koyama - resortes,2024-05-01,sk009,6.0,634.9604853845544,912.1155393105122
mann - brasil,2024-05-01,wk-962/7,4.0,1191.1303245962254,2489.0928083036065
sakura filter,2024-05-01,f-1111,6.0,4249.833766246483,5450.307810257551
sakura filter,2024-05-01,ca-18280,6.0,505.3307804669733,502.9995053723885
sakura filter,2024-05-01,ef-1509,6.0,14197.733871597475,15040.34331986947
sakura filter,2024-05-01,eo-2626,6.0,633.7593180061457,614.1762695977897
sakura filter,2024-05-01,c-1515,6.0,6775.088380162182,7504.461220311467
ito koyama - amortiguadores,2024-05-01,41700-65j00,6.0,120.72551146297926,448.72889214996394
valvoline - usa,2024-05-01,vv975,3.0,1818.0116133986623,1807.9084145606596
ito koyama - resortes,2024-05-01,ch010,6.0,490.3974913091384,751.1198938860591
narva,2024-05-01,48680,4.0,2210.7515807878312,2356.377938033741
ito koyama - amortiguadores,2024-05-01,3340047,6.0,602.2068885139934,349.21357656270635
sakura filter,2024-05-01,a-71420-s,6.0,1389.761322768708,1758.8815950227115
mann - brasil,2024-05-01,wk-950/14,4.0,840.7980093161391,996.8537383084744
sakura filter,2024-05-01,fc-1814,6.0,759.8005317299894,635.3986086743622
valvoline - usa,2024-05-01,861398,3.0,1114.9127679888738,1487.1181039519543
prextoline - usa,2024-05-01,pcr5050500,4.0,1160.3617933007195,1768.6192412617522
aisin - japon,2024-05-01,dt-124v,6.0,5178.850706861601,6987.988177912314
sakura filter,2024-05-01,a-7980,6.0,431.40801409765794,516.1012874052551
ito koyama - resortes,2024-05-01,d003,6.0,451.6478691771749,567.4054167988152
sakura filter,2024-05-01,a-33740,6.0,15707.45144884221,18673.02974652363
ito koyama - amortiguadores,2024-05-01,48531-36100,6.0,173.3273046363762,262.9698422325645
sakura filter,2024-05-01,a-6121m-s,6.0,658.2880331899149,969.7498056574833
sakura filter,2024-05-01,a-5330-s,6.0,1225.5098188156085,1062.9610503827396
sakura filter,2024-05-01,c-1008,6.0,1350.5881042400736,1248.0949856444163
sakura filter,2024-05-01,c-1011,6.0,9543.85014086743,11178.401518533137
sakura filter,2024-05-01,ef-13070,6.0,1976.3893946257624,2412.922720680045
ito koyama - trapecios,2024-05-01,t1083,6.0,102.66778602226479,204.73174623474296
mann - brasil,2024-05-01,tb-1374x,4.0,1930.9714463503967,1279.5987023209384
prextoline - lubricantes,2024-05-01,pra300500,2.0,3638.828760666851,4942.498107862748
sakura filter,2024-05-01,a-1088,6.0,2514.1607946565864,3147.4988613241294
ito koyama - amortiguadores,2024-05-01,485310r010,6.0,521.4348457397908,485.88426446996414
ito koyama - resortes,2024-05-01,hy016,6.0,435.1943712428505,390.3657837583069
sakura filter,2024-05-01,c-38090,6.0,837.494806719415,688.6799964029619
