fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion
ito koyama - direccion,2024-05-01,aty006,6.0,382.4505316010242,498.7207210838032
sakura filter,2024-05-01,a-5541-s,6.0,8872.503671970797,10086.076583592949
ito koyama - trapecios,2024-05-01,t1069,6.0,773.7912336603175,949.7636270909178
ito koyama - amortiguadores,2024-05-01,48510-20010,6.0,712.0367824099118,1011.9566122152239
mann - brasil,2024-05-01,hu-12140x,4.0,704.227459604904,573.9831260779503
sakura filter,2024-05-01,a-13570,6.0,2808.1872324861492,3843.8560821935703
narva,2024-05-01,48006,4.0,2345.123343603051,2767.690627400987
ito koyama - resortes,2024-05-01,d004,6.0,570.0363375635702,433.44858330661447
ito koyama - resortes,2024-05-01,t022,6.0,239.86570706032532,520.3744116382709
ito koyama - resortes,2024-05-01,t012,6.0,1628.5514073063096,1698.2148195797317
ito koyama - amortiguadores,2024-05-01,48520-12c20,6.0,1047.2057094106046,1600.4968013069988
sakura filter,2024-05-01,fc-2904,6.0,15055.053428363917,13922.774541152687
ito koyama - amortiguadores,2024-05-01,54302-5m400,6.0,621.8845914245525,221.4572412110075
ito koyama - palieres,2024-05-01,mi-013,6.0,544.3643641660976,567.9862165298886
sakura filter,2024-05-01,a-5573-s,6.0,528.1539716393903,620.9614658906954
ito koyama - amortiguadores,2024-05-01,41602-58m00,6.0,524.2396389086002,358.40785417913804
mann - brasil,2024-05-01,w-11102/36,4.0,8452.971258629324,8899.026494994238
sakura filter,2024-05-01,ef-5102,6.0,3014.3489748650622,4128.590746771735
sakura filter,2024-05-01,c-1823,6.0,847.3373427558537,918.1891479987437
narva,2024-05-01,48702,4.0,3896.524534705762,4072.646956451846
mann - brasil,2024-05-01,cf-1510/1,4.0,456.7227436670396,1059.8327197244294
sakura filter,2024-05-01,c-1318,6.0,1172.3804184638757,1238.028831317641
narva,2024-05-01,48040,4.0,223.63672261392517,504.63157868205155
ito koyama - resortes,2024-05-01,mz002,6.0,481.66468552703816,564.1603607292896
ito koyama - amortiguadores,2024-05-01,4060a397,6.0,737.4425172097817,846.1134554187137
ito koyama - trapecios,2024-05-01,t1086,6.0,717.0773580416359,583.205132240226
narva,2024-05-01,48700,4.0,6728.190800007968,7729.858935507041
mann - brasil,2024-05-01,wk-1060/1,4.0,38794.181489900635,42147.07594315979
ito koyama - resortes,2024-05-01,n016,6.0,743.042085102609,780.0712860108258
aisin - japon,2024-05-01,ctx-064,6.0,0.0,4602.568383956453
sakura filter,2024-05-01,as-5628-s,6.0,614.2859284222884,563.110970450501
aisin - japon,2024-05-01,dt-123v,6.0,15456.414276515421,11957.304489980825
narva,2024-05-01,17039,4.0,506.72115577632786,617.8205430682549
mann - brasil,2024-05-01,w-962,4.0,653.6517952650083,903.2869258678107
mann - brasil,2024-05-01,hu-1077/2x,4.0,620.1849938871837,1279.605536385607
valvoline - usa,2024-05-01,675130,3.0,3623.0274747367002,4566.2409194213005
mann - brasil,2024-05-01,pu-941x,4.0,2611.294451561565,3485.567791764251
sakura filter,2024-05-01,fc-1807,6.0,5623.311726104741,5800.300093175298
sakura filter,2024-05-01,c-1013,6.0,660.7569356543522,703.8509992549591
deestone,2024-05-01,dttmlt265/70r17,6.0,5900.154458756974,3319.6030819792873
ito koyama - palieres,2024-05-01,sk-823a,6.0,157.4670272513558,518.7503958712774
sakura filter,2024-05-01,a-1324-s,6.0,4260.199715385876,4760.719882210308
ito koyama - resortes,2024-05-01,t019,6.0,207.08851253432513,496.2312375877314
ito koyama - amortiguadores,2024-05-01,48510-12d20,6.0,1009.856200468468,1147.8098538803947
ito koyama - resortes,2024-05-01,t021,6.0,961.2335351645796,1493.6012961517965
sakura filter,2024-05-01,ca-1112,6.0,965.5981984107758,1061.1714597898153
ito koyama - resortes,2024-05-01,hy030,6.0,228.9176615792597,534.5519044132392
mann - brasil,2024-05-01,wk-1060,4.0,3445.034966194445,4987.629004522966
ito koyama - resortes,2024-05-01,hy004,6.0,643.8182942057697,708.1408112540848
sakura filter,2024-05-01,a-69130-s,6.0,1162.3952866620227,712.8809760245255
novaquimica - peru,2024-05-01,novar#1,1.0,931.5821391872437,1042.0737948890169
wagner locked - usa,2024-05-01,rxfc113661bep,2.0,3122.679243187096,5706.838342781116
aisin - japon,2024-05-01,ctx-071,6.0,46.40310988346628,4785.2414458146195
narva,2024-05-01,17197,4.0,1168.997824898465,1343.4044547763187
sakura filter,2024-05-01,efg-1002,6.0,2842.4868140755575,2341.870667459373
sakura filter,2024-05-01,a-5301-s,6.0,863.294029581014,725.6954195028794
mann - brasil,2024-05-01,w-1135/3,4.0,1063.1893341349398,807.015696027517
ito koyama - resortes,2024-05-01,mi003,6.0,594.84933176527,570.6191058688566
sakura filter,2024-05-01,f-11112,6.0,457.1862577555353,620.2694829733344
ito koyama - resortes,2024-05-01,t003,6.0,1202.691190788325,1181.5720807707146
valvoline,2024-05-01,di1540ci5500,2.0,9684.405820896678,3033.8586715991146
sakura filter,2024-05-01,f-17011,6.0,1282.5204904440955,1713.7614265786342
ito koyama - resortes,2024-05-01,t009,6.0,1055.5732961803305,1455.7942447268256
sakura filter,2024-05-01,c-1514,6.0,513.6807377262561,492.7415633254977
ito koyama - amortiguadores,2024-05-01,48531-35190ref,6.0,1101.2050731865359,1323.9954865556865
sakura filter,2024-05-01,a-6706-s,6.0,998.6464548177846,1345.7289926883877
ito koyama - amortiguadores,2024-05-01,mr-992321,6.0,182.57028627105768,780.5735909800117
narva,2024-05-01,18038,4.0,1941.8539315158189,1677.0761878530705
sakura filter,2024-05-01,ca-11380,6.0,2028.1857546474264,2770.2896725492387
sakura filter,2024-05-01,a-28550,6.0,495.78472077729464,454.0554640680883
deestone,2024-05-01,dt155/70r12,6.0,2975.9372669053646,3845.094290340084
ito koyama - resortes,2024-05-01,n013,6.0,671.3305627585554,1023.4812561267162
sakura filter,2024-05-01,sfc-7939-30,6.0,2352.0751309408092,2945.212355801983
narva,2024-05-01,48728,4.0,19798.782638376204,25469.97590714697
mann - brasil,2024-05-01,w-1168/5,4.0,759.5737478901906,1729.0054369109544
valvoline,2024-05-01,b20500100,2.0,2330.0641472343646,2630.7882074828904
ito koyama - amortiguadores,2024-05-01,48510-52031,6.0,2263.0419487794766,2592.9512259769895
ito koyama - direccion,2024-05-01,ety001,6.0,187.22163563602558,403.8367776650893
mann - brasil,2024-05-01,cf-400/1,4.0,1499.9443372826065,1647.4370800266427
sakura filter,2024-05-01,a-58370,6.0,2560.881051283566,2489.8320745099704
sakura filter,2024-05-01,c-2505,6.0,606.3359483870584,607.0023711352632
valvoline,2024-05-01,b10300100,2.0,10709.633777627956,11747.794360310687
valvoline - usa,2024-05-01,884544,3.0,34432.300353456965,39722.20438829078
denso - bujias - japon,2024-05-01,w16ex-u,3.0,648.1990449806597,731.7668001749512
deestone,2024-05-01,dttmlt265/65r17,6.0,19655.023528333582,17156.0666220865
sakura filter,2024-05-01,a-7101-s,6.0,1857.7881892005948,2716.360219486558
sakura filter,2024-05-01,c-1110,6.0,1448.230630961579,1735.0334638652234
ito koyama - resortes,2024-05-01,t004,6.0,576.2429881888091,1113.422428722985
versachem - usa,2024-05-01,44209,1.0,1384.079520884018,1341.3986546012507
sakura filter,2024-05-01,c-1007,6.0,831.9369221148233,348.181251726738
sakura filter,2024-05-01,ca-18120,6.0,593.5423832821584,772.9531923031294
ito koyama - resortes,2024-05-01,hy045,6.0,628.6687109588638,1055.7540912871743
narva,2024-05-01,17643,4.0,2148.4169577155485,4120.6212911890825
denso - bujias - japon,2024-05-01,k16tr11,3.0,2025.4311312289924,2116.0068186118456
valvoline - usa,2024-05-01,884569,3.0,7047.754327717421,8218.127472602471
ito koyama - trapecios,2024-05-01,t1081,6.0,13.957028833243978,359.4095756126394
sakura filter,2024-05-01,a-1331-s,6.0,11821.936024598303,12439.817442788251
ito koyama - resortes,2024-05-01,sk016,6.0,277.4675034285973,518.2935909326527
sakura filter,2024-05-01,f-1507,6.0,912.9951790138032,1053.4198006039437
ito koyama - resortes,2024-05-01,t020,6.0,449.00600716155486,831.8564807941286
ito koyama - trapecios,2024-05-01,t1084,6.0,29.253976727412713,377.260651180709
sakura filter,2024-05-01,fc-2801,6.0,1480.9662697272283,1904.1311459714948
sakura filter,2024-05-01,26560143,6.0,969.6601345021605,1110.5050753698454
ito koyama - resortes,2024-05-01,sk008,6.0,300.59601787635216,563.1428949096452
sakura filter,2024-05-01,fc-28011,6.0,1615.9844543803272,1828.0774241056477
sakura filter,2024-05-01,ef-1002,6.0,1225.7779747274406,1423.8650593822888
ito koyama - resortes,2024-05-01,n009,6.0,753.0282468258433,1447.0924234041545
valvoline - usa,2024-05-01,884572,3.0,704.646158353353,721.1881590128253
sakura filter,2024-05-01,c-2906,6.0,3226.047579069538,3588.590175464223
